Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,4.703476,4.780164,4.703476,0.606096615586394,1.704247,443034
1982-01-04,4.767382,4.767382,4.677914,0.599233344323899,1.676905,574086
1982-01-05,4.665133,4.665133,4.435072,0.576436498395496,1.613109,1056240
1982-01-06,4.52454,4.537321,4.435072,0.598146496634758,1.617667,941814
1982-01-07,4.537321,4.575665,4.473415,0.608719759856451,1.617667,1003428
1982-01-08,4.537321,4.716258,4.537321,0.60780799637598,1.672348,1547196
1982-01-11,4.677914,4.677914,4.588446,0.666071270886985,1.640451,643524
1982-01-12,4.601227,4.639571,4.52454,0.677131251288397,1.631338,1383870
1982-01-13,4.575665,4.639571,4.562883,0.718731427005588,1.649564,1283136
1982-01-14,4.652352,4.690695,4.652352,0.722448499887955,1.667791,929100
1982-01-15,4.652352,4.690695,4.652352,0.702040261353474,1.667791,929100
1982-01-18,4.677914,4.677914,4.562883,0.714245710667235,1.663235,568218
1982-01-19,4.665133,4.690695,4.562883,0.69658347804515,1.62678,711006
1982-01-20,4.601227,4.729039,4.601227,0.703748976343128,1.686018,2488032
1982-01-21,4.729039,5.010225,4.729039,0.703009874786934,1.736143,2689500
1982-01-22,4.869632,4.907975,4.831288,0.684411648920045,1.736143,1098294
1982-01-25,4.831288,4.831288,4.716258,0.657913143580075,1.704247,1505142
1982-01-26,4.780164,4.780164,4.690695,0.640620230630084,1.672348,928122
1982-01-27,4.690695,4.780164,4.677914,0.649348036735288,1.695132,978000
1982-01-28,4.780164,4.9591,4.780164,0.675540373723358,1.768041,1966758
1982-01-29,4.971881,5.112474,4.971881,0.680750387365517,1.795381,2656248
1982-02-01,5.035787,5.17638,4.984663,0.685881370428133,1.822723,2421528
1982-02-02,5.189162,5.304192,5.189162,0.689157244932576,1.859178,3179478
1982-02-03,5.227505,5.457566,5.227505,0.71655649099829,1.913858,3514932
1982-02-04,5.368098,5.483129,5.355317,0.734031987940367,1.945756,1686072
1982-02-05,5.457566,5.49591,5.380879,0.718066420893573,1.92753,1729104
1982-02-08,5.393661,5.393661,5.201943,0.715679281191295,1.868291,1054284
1982-02-09,5.240286,5.265849,5.138037,0.718231295381697,1.836392,1362354
1982-02-10,5.189162,5.380879,5.189162,0.774971476863958,1.913858,2652336
